,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"GMSCU200-SS","810312-024423 / #24423 SILKY COVER UP",,"EACH (EA)",999.00
,"GMSCYP100-AY","810312-023501 / #23501 SOLID COTTON YOGA PANTS",,"EACH (EA)",8
,"GMSFL1010-FW","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS",,"EACH (EA)",3.75
,"GMSFTL100-FW","810312-024072 / #24072 SEAMLESS FRENCH TERRY LEGGINGS",,"EACH (EA)",999.00
,"GMSH10000-SS","094088-102022 / #02022 SUMMER SHEER SCARF",,"EACH (EA)",999.00
,"GMSH10020-AY","810312-020524 / #20524 EXTENDABLE SHOEHORN",,"EACH (EA)",999.00
,"GMSL120-AY","810312-021170 / #21170 SPORT LEGGING",,"EACH (EA)",999.00
,"GMSLT100-SS","810312-020791 / #20791 SLEEVELESS LACE TUNIC",,"EACH (EA)",999.00
,"GMSLT1000-SS","810312-020609 / #20609 SOLID LACE TUNIC",,"EACH (EA)",999.00
,"GMSMS100-SS","810312-022214 / #22214 SLIT MAXI SKIRT",,"EACH (EA)",999.00
,"GMSP200-AY","810312-021941 / #21941 SCRUB PANTS - BLACK",,"EACH (EA)",999.00
,"GMSP205-AY","810312-022023 / #22023 SCRUB PANTS - GRAY",,"EACH (EA)",999.00
,"GMSP210-AY","810312-022061 / #22061 SCRUB PANTS - ROYAL BLUE",,"EACH (EA)",999.00
,"GMSP215-AY","810312-022108 / #22108 SCRUB PANTS - CEIL BLUE",,"EACH (EA)",999.00
,"GMSP220-AY","810312-021989 / #21989 SCRUB PANTS - NAVY",,"EACH (EA)",999.00
,"GMSPP110-FW","810312-020340 / #20340 SUPER PLUSH PANTS",,"EACH (EA)",999.00
,"GMSPP120-SS","810312-021132 / #21132 SOLID PALAZZO PANTS",,"EACH (EA)",999.00
,"GMSPPT100-SS","810312-022269 / #22269 SLVELESS PRINT POCKET TUN",,"EACH (EA)",999.00
,"GMSS18000-AY","810312-021736 / #21736 GILDAN 18000-SWEATSHIRT WT-(L)",,"EACH (EA)",999.00
,"GMSSH100-AY","810312-023884 / #23884 SUPER SOFT HOODIE",,"EACH (EA)",999.00
,"GMSSL1010-AY","810312-020463 / #20463 PRINT SUPER SOFT LEGGING",,"EACH (EA)",3.75
,"GMSSL1020-AY","810312-020654 / #20654 SOLID SUPER SOFT LEGGING",,"EACH (EA)",3.75
,"GMSSL1025-AY","810312-021682 / #21682 BLACK-SUPER SOFT LEGGING",,"EACH (EA)",999.00
,"GMSSL1030-SS","810312-020913 / #20913 SOLID SUP SOFT LEGG-BRITE",,"EACH (EA)",999.00
,"GMSSL1040-AY","810312-020951 / #20951 JR SUP SOFT LEGGING -PRNT",,"EACH (EA)",999.00
,"GMSSL1050-FW","810312-025109 / #25109 CHRISTMAS SUP SOFT LEGGING",,"EACH (EA)",999.00
,"GMSSL1060-AY","810312-022306 / #22306 L-2XL PRINT SUP SOFT LEGGING",,"EACH (EA)",999.00
,"GMSSLST100-AY","810312-023761 / #23761 SUPER SOFT LONG SLEEVE TEE",,"EACH (EA)",999.00
,"GMSSPP-FW","810312-021316 / #21316 SUPER SOFT PAJAMA PANTS",,"EACH (EA)",999.00
,"GMSSPT200-SS","810312-023440 / #23440 SOLID SHORT SLV PKT TUNIC",,"EACH (EA)",999.00
,"GMSST100-SS","810312-021415 / #21415 SPLIT SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMST100-AY","810312-021743 / #21743 SCRUB TOP - BLACK",,"EACH (EA)",999.00
,"GMST105-AY","810312-021828 / #21828 SCRUB TOP - GRAY",,"EACH (EA)",999.00
,"GMST110-AY","810312-021866 / #21866 SCRUB TOP - ROYAL BLUE",,"EACH (EA)",999.00
,"GMST115-AY","810312-021903 / #21903 SCRUB TOP - CEIL BLUE",,"EACH (EA)",999.00
,"GMST120-AY","810312-021781 / #21781 SCRUB TOP - NAVY",,"EACH (EA)",999.00
,"GMSWKT100-FW","810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC",,"EACH (EA)",999.00
,"GMTFK100-SS","810312-022221 / #22221 TIE FRONT KIMONO",,"EACH (EA)",999.00
,"GMTFL100-FW","810312-021668 / #21668 TEXTURED FLEECE LEGGINGS",,"EACH (EA)",3.75
,"GMTK100-AY","810312-021576 / #21576 TIDY KEYS (24/CS)",,"EACH (EA)",999.00
,"GMTK105-AY","810312-021576 / #21576 TIDY KEYS (48/CS)",,"EACH (EA)",999.00
,"GMTS1000-FW","810312-020265 / #20265 THE SCAPE (SCARF + CAPE)",,"EACH (EA)",999.00
,"GMTST100-SS","810312-021156 / #21156 TIE SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMTST200-SS","810312-022207 / #22207 TULIP SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMTTBD100-SS","810312-023112 / #23112 TASSEL TIE BACK MAXI DRESS",,"EACH (EA)",999.00
,"GMTWMD100-SS","810312-022153 / #22153 TIE WAIST MAXI DRESS",,"EACH (EA)",999.00
,"GMTWMD200-SS","810312-024270 / #24270 TIE WAIST MAXI DRESS",,"EACH (EA)",999.00
,"GMTXT100-AY","810312-021507 / #21507 TX TUMBLER - 20 OZ (24/CS)",,"EACH (EA)",999.00
,"GMTXT110-AY","810312-021514 / #21514 TX TUMBLER - 30 OZ (24/CS)",,"EACH (EA)",999.00
,"GMUSL1000-FW","810312-020999 / #20999 ULTRA STRETCH LEGGING",,"EACH (EA)",999.00
,"GMWH1000-AY","810312-020678 / #20678 WESTERN HANDBAG",,"EACH (EA)",999.00
,"GMWPP100-FW","810312-020777 / #20777 WINTER PALAZZO PANTS",,"EACH (EA)",999.00
,"GMWT100-AY","810312-021521 / #21521 WINE TUMBLR  12 OZ -GLOSS",,"EACH (EA)",999.00
,"GMWT110-AY","810312-021538 / #21538 WINE TUMBLR  12 OZ-MTALIC",,"EACH (EA)",5.5
,"GMWTS102-AY","810312-021460 / #21460 GILDAN 5000-SHORT SL WHITE-(S)",,"EACH (EA)",999.00
,"GMWTS103-AY","810312-021392 / #21392 GILDAN 5000-SHORT SL WHITE-(MD)",,"EACH (EA)",999.00
,"GMWTS104-AY","810312-021354 / #21354 GILDAN 5000-SHORT SL WHITE-(LG)",,"EACH (EA)",999.00
,"GMWTS105-AY","810312-021408 / #21408 GILDAN 5000-SHORT SL WHITE-(XL)",,"EACH (EA)",999.00
,"GMWTS110-AY","810312-021361 / #21361 GILDAN 5400-LONG SL WHITE-(MD)",,"EACH (EA)",999.00
,"GMWTS115-AY","810312-021378 / #21378 GILDAN 5400-LONG SL WHITE-(LG)",,"EACH (EA)",999.00
,"GMWTS120-AY","810312-021385 / #21385 GILDAN 5400-LONG SL WHITE-(XL)",,"EACH (EA)",999.00
,"GMXBST1100-FW","810312-020715 / #20715 2XL-3XL-BELL SLV TUNIC",,"EACH (EA)",999.00
,"GMXBST3100-FW","810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC",,"EACH (EA)",999.00
