Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
GMOSD100-SS,810312-021347 / #21347 OFF SHOULDER DRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMOSLT1000-FW,810312-020708 / #20708 OPEN SLEEVE LACE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMP100-AY,810312-022535 / #22535 PASHMINAS,,EACH (EA),999,8.10312E+11,0,Carded,AY
GMPDJ100-AY,810312-021552 / #21552 PRINTED JEGGING,,EACH (EA),9,8.10312E+11,Printed,Carded,AY
GMPFL1010-FW,810312-020692 / #20692 PRINTED FLEECE LEGGINGS,,EACH (EA),3.75,8.10312E+11,Printed,Carded,FW
GMPJP100-AY,810312-021125 / #21125 JOGGER PANTS - PRINTED,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,AY
GMPMD100-SS,810312-020852 / #20852 PLEATED MAXI DRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMPOS1000-FW,810312-020234 / #20234 PULL OVER SHAWL,,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,FW
GMPP21-FW,810312-020043 / #20043 PREMIUM PASHMINA SCARF - EA,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMPPP120-SS,810312-020555 / #20555 PRINTED PALAZZO PANTS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
GMPPP300-FW,810312-023754 / #23754 PRINTED PLUSH PANTS,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Pants,FW
GMPPS100-FW,810312-022603 / #22603 POM-POM SLIPPERS,,EACH (EA),4.5,8.10312E+11,Solid,Carded,FW
GMPPS200-FW,810312-022603 / #PDQ POM-POM SLIPPERS,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMPPST200-FW,810312-021705 / #21705 PRINTED POCKET SWING TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMPS100-FW,810312-021699 / #21699 PLAID SCARF,,EACH (EA),4.75,8.10312E+11,Printed,Carded,FW
GMPSFL100-FW,810312-023341 / #23341 PRINTED SEAMLESS FLEECE LEGGINGS,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMPST100-SS,810312-020784 / #20784 PINWHEEL SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMPSV1000-FW,810312-021255 / #21255 SWEATER VEST - PRINTED,,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,FW
GMRA10210-AY,810312-020333 / #20333 4-WAY RACK,,EACH (EA),65,8.10312E+11,#N/A,#N/A,#N/A
GMRA10215-AY,810312-021033 / #21033 ATTACHMENT ARM,,EACH (EA),0,8.10312E+11,#N/A,#N/A,#N/A
GMRA10216-AY,810312-022627 / #22627 ARM CLIP (AC),,EACH (EA),0,8.10312E+11,#N/A,#N/A,#N/A
GMRA10219-AY,810312-021088 / #21088 J-HOOK 10'' (JH),,EACH (EA),0,8.10312E+11,#N/A,#N/A,#N/A
GMRA10220-AY,810312-021040 / #21040 PEG HOOK (PH),,EACH (EA),0,8.10312E+11,#N/A,#N/A,#N/A
GMRA10223-AY,810312-022610 / #22610 HOOK CLIP (HC),,EACH (EA),0,8.10312E+11,#N/A,#N/A,#N/A
GMRA10225-AY,810312-021545 / #21545 1-2 WAY RACK,,EACH (EA),55,8.10312E+11,#N/A,#N/A,#N/A
GMRBH100-AY,810312-024324 / #024324 REVERSIBLE BUCKET HATS,,EACH (EA),999,8.10312E+11,0,Carded,AY
GMRH100-AY,810312-020364 / #20364 RHINESTONE HANDBAG,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMRHMD100-SS,810312-022252 / #22252 ROUND HEM MAXI DRESS,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Dress,SS
GMRHMD200-SS,810312-024416 / #24416 ROUND HEM MAXI DRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMRST1000-SS,810312-020753 / #20753 RUFFLE SLEEVE TUNIC,,EACH (EA),7,8.10312E+11,Solid,Long Hanging Top,SS
GMRTST100-SS,810312-022436 / #22436 ROLL TAB 3-4 SLEEVE TUNIC,,EACH (EA),7.5,8.10312E+11,Solid,Long Hanging Top,SS
GMRUST200-FW,810312-021729 / #21729 ROLL UP SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMS200-SS,810312-022283 / #22283 SARONG (48 EACH),,EACH (EA),999,8.10312E+11,Printed,Carded,SS
GMSAT100-SS,810312-021194 / #21194 SLIT ACCENT PANTS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Pants,SS
GMSBS100-FW,810312-020517 / #20517 SEQUIN BALLERINA SLIPPERS,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMSBST100-SS,810312-023433 / #23433 SOLID BACK SLIT TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMSCU100-SS,810312-021439 / #21439 SILKY COVER UP,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMSCU200-SS,810312-024423 / #24423 SILKY COVER UP,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
