,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"JEWEL OSCO",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523900","810312-021118 / #21118 DENIM JEGGING-SOLID","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","GMDJ100-AY (810312-021118 / #21118 DENIM JEGGING-SOLID)",-2,,7.75,-15.50,-90.50
,"Credit Memo","10/16/2022","523900","810312-021453 / #21453 2XL-3XL-DENIM JEGGING","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","GMXDJ110-AY (810312-021453 / #21453 2XL-3XL-DENIM JEGGING)",-1,,8.80,-8.80,-99.30
,"Credit Memo","10/16/2022","523900","810312-022368 / #22368 SUP SOFT LEG SOLID GRY L-2XL (L1320)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","LISSL116-AY (810312-022368 / #22368 SUP SOFT LEG SOLID GRY L-2XL (L1320))",-1,,4.00,-4.00,-103.30
,"Credit Memo","10/16/2022","523900","810312-022832 / #22832 PRINTED JEGGING L-XL (P5232)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","LIPDJ202-AY (810312-022832 / #22832 PRINTED JEGGING L-XL (P5232))",-1,,9.50,-9.50,-112.80
,"Credit Memo","10/16/2022","523900","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3096","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",-1,,10.50,-10.50,-123.30
"Total JEWEL3096",,,,,,,-26,,,-123.30,-123.30
"JEWEL3097",,,,,,,,,,,""
,"Invoice","10/04/2022","522785","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3097","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/04/2022","522785","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3097","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/04/2022","522785","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3097","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
"Total JEWEL3097",,,,,,,48,,,192.00,192.00
"JEWEL3176",,,,,,,,,,,""
,"Invoice","10/11/2022","523725","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3176","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/11/2022","523725","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3176","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/11/2022","523725","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3176","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
,"Credit Memo","10/16/2022","523901","810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3176","GMSFL1010-FW (810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS)",-1,,3.75,-3.75,416.25
,"Credit Memo","10/16/2022","523901","810312-020692 / #20692 PRINTED FLEECE LEGGINGS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3176","GMPFL1010-FW (810312-020692 / #20692 PRINTED FLEECE LEGGINGS)",-14,,3.75,-52.50,363.75
,"Credit Memo","10/16/2022","523901","810312-023754 / #23754 PRINTED PLUSH PANTS","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3176","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",-21,,7.00,-147.00,216.75
"Total JEWEL3176",,,,,,,4,,,216.75,216.75
"JEWEL3178",,,,,,,,,,,""
,"Invoice","10/24/2022","524539","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3178","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,68.00
,"Invoice","10/24/2022","524539","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3178","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,176.00
,"Invoice","10/24/2022","524539","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3178","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,192.00
"Total JEWEL3178",,,,,,,48,,,192.00,192.00
"JEWEL3182",,,,,,,,,,,""
,"Invoice","10/11/2022","523731","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3182","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/11/2022","523731","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3182","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/11/2022","523731","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3182","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
"Total JEWEL3182",,,,,,,40,,,420.00,420.00
"JEWEL3192",,,,,,,,,,,""
,"Invoice","10/11/2022","523736","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3192","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/11/2022","523736","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:JEWEL OSCO:JEWEL3192","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
