,"On Hand","U/M","Avg Cost","Asset Value","% of Tot Asset","Sales Price","Retail Value","% of Tot Retail"
"GMSKH100-AY (810312-024799 / #24799 SOLID KNITTED HOODIE)",31638,"EA",6.89,217944.34,1.5%,999.00,31606362.00,0.6%
"GMSKP100-AY (810312-024805 / #24805 SOLID KNITTED PANTS)",37050,"EA",6.47,239571.80,1.7%,999.00,37012950.00,0.7%
"GMSL120-AY (810312-021170 / #21170 SPORT LEGGING)",96,"EA",3.09,297.09,0%,999.00,95904.00,0%
"GMSLT100-SS (810312-020791 / #20791 SLEEVELESS LACE TUNIC)",0,"EA",2.83,0.00,0%,999.00,0.00,0%
"GMSLT1000-SS (810312-020609 / #20609 SOLID LACE TUNIC)",0,"EA",2.92,0.00,0%,999.00,0.00,0%
"GMSMS100-SS (810312-022214 / #22214 SLIT MAXI SKIRT)",2016,"EA",3.54,7144.94,0%,999.00,2013984.00,0%
"GMSP200-AY (810312-021941 / #21941 SCRUB PANTS - BLACK)",0,"EA",3.82,0.00,0%,999.00,0.00,0%
"GMSP205-AY (810312-022023 / #22023 SCRUB PANTS - GRAY)",0,"EA",3.85,0.00,0%,999.00,0.00,0%
"GMSP210-AY (810312-022061 / #22061 SCRUB PANTS - ROYAL BLUE)",0,"EA",3.83,0.00,0%,999.00,0.00,0%
"GMSP215-AY (810312-022108 / #22108 SCRUB PANTS - CEIL BLUE)",0,"EA",3.84,0.00,0%,999.00,0.00,0%
"GMSP220-AY (810312-021989 / #21989 SCRUB PANTS - NAVY)",0,"EA",4.50,0.00,0%,999.00,0.00,0%
"GMSPP110-FW (810312-020340 / #20340 SUPER PLUSH PANTS)",72,"EA",2.59,186.57,0%,999.00,71928.00,0%
"GMSPP120-SS (810312-021132 / #21132 SOLID PALAZZO PANTS)",0,"EA",3.20,0.00,0%,999.00,0.00,0%
"GMSPPT100-SS (810312-022269 / #22269 SLVELESS PRINT POCKET TUN)",0,"EA",3.52,0.00,0%,999.00,0.00,0%
"GMSPST200-FW (810312-021712 / #21712 SOLID POCKET SWING TUNIC)",36,"EA",4.43,159.38,0%,999.00,35964.00,0%
"GMSRKL100-AY (810312-024232 / #24232 SOLID RIBBED KNIT LEGGINGS)",2268,"EA",5.15,11690.81,0.1%,999.00,2265732.00,0%
"GMSRMD100-SS (810312-024836 / #24836 SOLID RIBBED MIDI DRESS)",3456,"EA",0.00,0.00,0%,999.00,3452544.00,0.1%
"GMSRST100-SS (810312-024935 / #24935 SOLID ROLLED SLEEVE TUNIC)",2592,"EA",0.00,0.00,0%,999.00,2589408.00,0%
"GMSS18000-AY (810312-021736 / #21736 GILDAN 18000-SWEATSHIRT WT-(L))",0,"EA",4.55,0.00,0%,999.00,0.00,0%
"GMSSH100-AY (810312-023884 / #23884 SUPER SOFT HOODIE)",62130,"EA",6.05,375723.64,2.6%,999.00,62067870.00,1.2%
"GMSSL1010-AY (810312-020463 / #20463 PRINT SUPER SOFT LEGGING)",96,"EA",2.07,198.60,0%,999.00,95904.00,0%
"GMSSL1020-AY (810312-020654 / #20654 SOLID SUPER SOFT LEGGING)",23904,"EA",2.34,55879.89,0.4%,999.00,23880096.00,0.5%
"GMSSL1025-AY (810312-021682 / #21682 BLACK-SUPER SOFT LEGGING)",0,"EA",1.96,0.00,0%,999.00,0.00,0%
"GMSSL1030-SS (810312-020913 / #20913 SOLID SUP SOFT LEGG-BRITE)",0,"EA",1.56,0.00,0%,999.00,0.00,0%
"GMSSL1040-AY (810312-020951 / #20951 JR SUP SOFT LEGGING -PRNT)",0,"EA",1.23,0.00,0%,999.00,0.00,0%
