,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
,"Invoice","11/07/2022","527980","810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633)","KVAT FOOD STORES:KVAT2843 (EI)","LISBT202-FW (810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633))",22,"EA",9.00,198.00,576.00
"Total KVAT2843 (EI)",,,,,,,72,,,576.00,576.00
"KVAT424 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524061","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT424 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
,"Invoice","10/24/2022","524450","810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC","KVAT FOOD STORES:KVAT424 (EI)","GMSWKT100-FW (810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC)",36,"EA",8.50,306.00,558.00
"Total KVAT424 (EI)",,,,,,,72,,,558.00,558.00
"KVAT425 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524062","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT425 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
"Total KVAT425 (EI)",,,,,,,36,,,252.00,252.00
"KVAT433 (EI)",,,,,,,,,,,""
,"Invoice","10/24/2022","524453","810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC","KVAT FOOD STORES:KVAT433 (EI)","GMSWKT100-FW (810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC)",36,"EA",8.50,306.00,306.00
,"Invoice","11/10/2022","528282","FREIGHT","KVAT FOOD STORES:KVAT433 (EI)","C 1 (FREIGHT)",1,,180.00,180.00,486.00
"Total KVAT433 (EI)",,,,,,,37,,,486.00,486.00
"KVAT436 (EI)",,,,,,,,,,,""
,"Invoice","10/04/2022","522796","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KVAT FOOD STORES:KVAT436 (EI)","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,68.00
,"Invoice","10/04/2022","522796","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KVAT FOOD STORES:KVAT436 (EI)","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,176.00
,"Invoice","10/04/2022","522796","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KVAT FOOD STORES:KVAT436 (EI)","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,192.00
,"Invoice","10/04/2022","522796","FREIGHT","KVAT FOOD STORES:KVAT436 (EI)","C 1 (FREIGHT)",1,,192.00,192.00,384.00
,"Credit Memo","10/16/2022","523932","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)","KVAT FOOD STORES:KVAT436 (EI)","LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",-3,,9.00,-27.00,357.00
